# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 1000 bp upstream, 1000 bp downstream, 30000 bp max extension, curated regulatory domains included
A1BG	unnamed (+22875)
ENPP3	unnamed (-178), unnamed (+17990)
ENPP6	unnamed (-16439), unnamed (+16514)
ENPP7	unnamed (-23658), unnamed (-2151), unnamed (+6530), unnamed (+9719), unnamed (+11219), unnamed (+18774)
ENSA	unnamed (-5506), unnamed (+9697)
ENSG00000141979	unnamed (-242)
ENSG00000142539	unnamed (-903)
ENSG00000144785	unnamed (-241)
ENSG00000151079	unnamed (-22182)
ENSG00000167807	unnamed (+7)
ENSG00000179859	unnamed (-112), unnamed (+339), unnamed (+748), unnamed (+18267)
ENSG00000183292	unnamed (-17529), unnamed (+5739)
ENSG00000183889	unnamed (-22001), unnamed (+25736)
ENSG00000184761	unnamed (-3474), unnamed (+3642), unnamed (+5787)
ENSG00000188897	unnamed (+25344)
ENSG00000198211	unnamed (-363), unnamed (+2160)
ENSG00000213240	unnamed (-6597)
ENSG00000214654	unnamed (+11366)
ENSG00000214732	unnamed (+4395), unnamed (+22025)
ENSG00000214776	unnamed (-21702), unnamed (+4157)
ENSG00000214782	unnamed (+24198), unnamed (+26381)
ENSG00000228144	unnamed (-8914), unnamed (-5458), unnamed (-1469)
ENSG00000230626	unnamed (-18648)
ENSG00000233024	unnamed (-25427), unnamed (-17739), unnamed (-2454), unnamed (+25749)
ENSG00000233757	unnamed (-13958)
ENSG00000240045	unnamed (+10786)
ENSG00000241489	unnamed (+16436)
ENSG00000244255	unnamed (+8349)
ENSG00000248710	unnamed (-2), unnamed (+5223)
ENSG00000248767	unnamed (-9640), unnamed (-7613), unnamed (+12960), unnamed (+22411)
ENSG00000248993	unnamed (-900), unnamed (+5114), unnamed (+10249)
ENSG00000249141	unnamed (-544), unnamed (+5002), unnamed (+15106)
ENSG00000249209	unnamed (-20388), unnamed (-15911)
ENSG00000249319	unnamed (+18075)
ENSG00000249590	unnamed (+12497), unnamed (+14951)
ENSG00000249967	unnamed (+875)
ENSG00000250644	unnamed (-6), unnamed (+3233)
ENSG00000250782	unnamed (+21985)
ENSG00000251184	unnamed (+1153)
ENSG00000251246	unnamed (+769)
ENSG00000251537	unnamed (-291)
ENSG00000251569	unnamed (+480)
ENSG00000254692	unnamed (-116)
ENSG00000254979	unnamed (-15170), unnamed (-14759)
ENSG00000255275	unnamed (-5491), unnamed (+11644)
ENSG00000255439	unnamed (+290)
ENSG00000255508	unnamed (-112)
ENSG00000255730	unnamed (+3654), unnamed (+18948)
ENSG00000255767	unnamed (+11705)
ENSG00000255835	unnamed (-7199), unnamed (-4360), unnamed (-50)
ENSG00000256060	unnamed (-18)
ENSG00000256206	unnamed (-162)
ENSG00000256514	unnamed (-699)
ENSG00000256591	unnamed (+6)
ENSG00000256825	unnamed (-402)
ENSG00000256861	unnamed (-79)
ENSG00000256966	unnamed (-190)
ENSG00000258064	unnamed (-8949)
ENSG00000258311	unnamed (+5)
ENSG00000258529	unnamed (-17), unnamed (+492)
ENSG00000258724	unnamed (-61), unnamed (+20806)
ENSG00000258728	unnamed (-3756), unnamed (-52)
ENSG00000258830	unnamed (+8218), unnamed (+16124)
ENSG00000258881	unnamed (-25128), unnamed (-5545)
ENSG00000258989	unnamed (+8485)
ENSG00000259060	unnamed (-23323), unnamed (-3910)
ENSG00000259066	unnamed (+12), unnamed (+287)
ENSG00000259164	unnamed (-115), unnamed (+1334)
ENSG00000259753	unnamed (+12226), unnamed (+27593)
ENSG00000259784	unnamed (-41), unnamed (+728)
ENSG00000259900	unnamed (+2087)
ENSG00000259916	unnamed (-4925)
ENSG00000260170	unnamed (-63)
ENSG00000260234	unnamed (-25113)
ENSG00000260272	unnamed (-16391), unnamed (+5626), unnamed (+14108)
ENSG00000260342	unnamed (+263)
ENSG00000260371	unnamed (-18405)
ENSG00000260643	unnamed (-161), unnamed (+185)
ENSG00000260729	unnamed (-59)
ENSG00000260734	unnamed (+6634)
ENSG00000260836	unnamed (-15832)
ENSG00000261147	unnamed (-560)
ENSG00000261341	unnamed (-22483), unnamed (-22118), unnamed (-11933), unnamed (-11436), unnamed (-3167)
ENSG00000261582	unnamed (+8696), unnamed (+29217)
ENSG00000261717	unnamed (-78)
ENSG00000261732	unnamed (-18737), unnamed (+19639)
ENSG00000261884	unnamed (-223)
ENSG00000262304	unnamed (-805), unnamed (-444)
ENSG00000262633	unnamed (+17751)
ENSG00000263264	unnamed (+25174)
ENSG00000263620	unnamed (-10402), unnamed (-1496)
ENSG00000265590	unnamed (-284), unnamed (+24949)
ENSG00000266826	unnamed (-605), unnamed (+12589), unnamed (+25016)
ENSG00000267001	unnamed (-184), unnamed (+11065), unnamed (+15826)
ENSG00000267120	unnamed (+900)
ENSG00000267140	unnamed (-158)
ENSG00000267157	unnamed (+8267)
ENSG00000267179	unnamed (+17832), unnamed (+24696)
ENSG00000267261	unnamed (+9878)
ENSG00000267281	unnamed (-571), unnamed (+26203)
ENSG00000267699	unnamed (-130)
ENSG00000267740	unnamed (-771), unnamed (-158), unnamed (+9055), unnamed (+29678)
ENSG00000267748	unnamed (-19147), unnamed (-18942), unnamed (-18368)
ENSG00000268041	unnamed (-29503), unnamed (-20058), unnamed (+3756)
ENSG00000268133	unnamed (-17)
ENSG00000268361	unnamed (+8776)
ENSG00000268643	unnamed (+1499), unnamed (+1999), unnamed (+10266)
ENSG00000268744	unnamed (-42), unnamed (+859)
ENSG00000268750	unnamed (-1223)
ENSG00000268861	unnamed (-8717), unnamed (+3617)
ENSG00000269242	unnamed (+20106)
ENSG00000269533	unnamed (+13503)
ENSG00000269547	unnamed (+14390)
ENSG00000269693	unnamed (-23028), unnamed (-149), unnamed (+6761)
ENSG00000269881	unnamed (+8877)
ENSG00000270249	unnamed (-18866), unnamed (-12461), unnamed (-12107), unnamed (-143), unnamed (+8811), unnamed (+10531), unnamed (+18234)
ENSG00000271824	unnamed (-12609), unnamed (+6985)
ENSG00000272162	unnamed (-20893), unnamed (-124)
ENSG00000272869	unnamed (-145)
ENSG00000272897	unnamed (-12916)
ENSG00000273049	unnamed (-756)
ENSG00000273154	unnamed (-14024), unnamed (-7694), unnamed (+2406)
ENSG00000273217	unnamed (-150), unnamed (+548)
ENSG00000273398	unnamed (-26510)
ENSG00000273734	unnamed (-80), unnamed (+4279)
ENSG00000274322	unnamed (-69)
ENSG00000275674	unnamed (-382), unnamed (+27217)
ENSG00000275993	unnamed (-19393)
ENSG00000276612	unnamed (+5242), unnamed (+12463)
ENSG00000277117	unnamed (+24685)
ENSG00000277669	unnamed (+11129)
ENSG00000277971	unnamed (-1301)
ENSG00000278500	unnamed (-14573), unnamed (+446)
ENSG00000280571	unnamed (-36)
ENSG00000281028	unnamed (+305)
ENSG00000281039	unnamed (+604)
ENSG00000282218	unnamed (-26631)
ENSG00000282278	unnamed (-254)
ENSG00000282804	unnamed (+7171)
ENSG00000282881	unnamed (-11468), unnamed (-731), unnamed (+10882), unnamed (+13183)
ENSG00000283088	unnamed (+26303)
ENSG00000283201	unnamed (-785)
ENSG00000283208	unnamed (+283)
ENSG00000283239	unnamed (+622), unnamed (+20497)
ENSG00000283324	unnamed (+20481)
ENSG00000283496	unnamed (-56), unnamed (+5022), unnamed (+13106)
ENSG00000283526	unnamed (-2173)
ENSG00000283563	unnamed (+75)
ENSG00000283755	unnamed (+21256), unnamed (+23954)
ENSG00000283765	unnamed (-55)
ENSG00000283930	unnamed (-144)
ENSG00000284041	unnamed (-656), unnamed (-11)
ENSG00000284057	unnamed (-737)
ENSG00000284194	unnamed (+753)
ENSG00000284234	unnamed (-2039)
ENSG00000284283	unnamed (+1395)
ENSG00000284299	unnamed (-148)
ENSG00000284484	unnamed (-13428)
ENSG00000284512	unnamed (-173), unnamed (+173), unnamed (+10086)
ENSG00000284552	unnamed (-21940)
ENSG00000284554	unnamed (+4442)
ENSG00000284684	unnamed (+11431)
ENSG00000284741	unnamed (+6844)
ENTPD1	unnamed (+26)
ENTPD3	unnamed (-28427), unnamed (-9168)
ENTPD5	unnamed (-49)
ENTPD6	unnamed (-43), unnamed (+27608)
ENTPD7	unnamed (-96)
ENTPD8	unnamed (-13562), unnamed (-292), unnamed (+11028), unnamed (+16476)
ENY2	unnamed (-151)
EOGT	unnamed (-37)
EP300	unnamed (-217)
EP400	unnamed (-26582), unnamed (-9433), unnamed (+26473)
EPAS1	unnamed (-193), unnamed (+19415), unnamed (+29055)
EPB41	unnamed (-26661), unnamed (-10746), unnamed (-9809), unnamed (-4753), unnamed (-3141), unnamed (-1920), unnamed (-281), unnamed (+27183), unnamed (+28493)
EPB41L1	unnamed (-26130), unnamed (+7959), unnamed (+15266), unnamed (+17014), unnamed (+18971), unnamed (+27751), unnamed (+28679)
EPB41L4A	unnamed (-28069)
EPB41L4B	unnamed (-24555), unnamed (-191), unnamed (+2845)
EPB42	unnamed (-70), unnamed (+6907)
EPC1	unnamed (-5532), unnamed (-1), unnamed (+684)
EPC2	unnamed (-24641)
EPCAM	unnamed (-24051)
EPG5	unnamed (-48), unnamed (+4601)
EPHA1	unnamed (-29034), unnamed (-25946), unnamed (-10243), unnamed (+9556)
EPHA2	unnamed (-27437), unnamed (-11399), unnamed (-8337), unnamed (+9598), unnamed (+17562), unnamed (+22373)
EPHA8	unnamed (+7237)
EPHB1	unnamed (+12095), unnamed (+13074)
EPHB3	unnamed (-4004)
EPHB4	unnamed (-10014), unnamed (-1992), unnamed (+25408)
EPHB6	unnamed (-22610), unnamed (-16443), unnamed (-16002), unnamed (-3599)
EPHX2	unnamed (-6606), unnamed (+367)
EPM2A	unnamed (+236), unnamed (+994)
EPM2AIP1	unnamed (-310), unnamed (+9939)
EPN1	unnamed (-4860)
EPN2	unnamed (-23656), unnamed (-2486)
EPN3	unnamed (-847)
EPOP	unnamed (-25658), unnamed (-23986), unnamed (-23520), unnamed (-1786), unnamed (+286)
EPOR	unnamed (-6267), unnamed (+814), unnamed (+6992)
EPPK1	unnamed (-24257), unnamed (-21516), unnamed (-11312)
EPRS	unnamed (+12), unnamed (+1540)
EPS15	unnamed (+1216)
EPS15L1	unnamed (+24879)
EPS8L1	unnamed (+4765), unnamed (+25557)
EPS8L2	unnamed (+22009)
EPS8L3	unnamed (-11137), unnamed (-9737), unnamed (-8277)
EPX	unnamed (-8327)
ERAL1	unnamed (+53), unnamed (+5514), unnamed (+10535)
ERAP2	unnamed (-1111), unnamed (+5937)
ERBB2	unnamed (+4068), unnamed (+10611)
ERC2	unnamed (+21043)
ERCC1	unnamed (-26807), unnamed (-25650), unnamed (-20924)
ERCC2	unnamed (-52), unnamed (+25848)
ERCC4	unnamed (-14660), unnamed (-13536), unnamed (+11939), unnamed (+16865)
ERCC5	unnamed (+956)
ERCC6	unnamed (-2811), unnamed (-145)
ERCC6L	unnamed (-494), unnamed (-41)
ERCC6L2	unnamed (+325)
ERCC8	unnamed (-229)
EREG	unnamed (+27172), unnamed (+29868)
ERF	unnamed (-16049), unnamed (-13281)
ERFE	unnamed (-11964)
ERGIC2	unnamed (-10926)
ERI1	unnamed (+570), unnamed (+7687), unnamed (+8199)
ERI2	unnamed (-90)
ERI3	unnamed (-63), unnamed (+16876)
ERICH2	unnamed (+16620), unnamed (+20312)
ERLIN1	unnamed (+2345)
ERLIN2	unnamed (-4)
ERMAP	unnamed (-3115)
ERMARD	unnamed (-63)
ERMP1	unnamed (-1308), unnamed (+16292)
ERN1	unnamed (-17486), unnamed (-15739)
ERN2	unnamed (-14404), unnamed (-9333), unnamed (+3970), unnamed (+12740)
ERO1A	unnamed (+11349)
ERO1B	unnamed (-6306), unnamed (-561), unnamed (-139)
ERP29	unnamed (+75), unnamed (+977)
ERP44	unnamed (+5457), unnamed (+10587), unnamed (+22586)
ERRFI1	unnamed (-53), unnamed (+21378), unnamed (+21866), unnamed (+27474)
ERV3-1	unnamed (+7071)
ERVFRD-1	unnamed (-172), unnamed (+16119)
ERVMER34-1	unnamed (-29179)
ERVW-1	unnamed (-7036)
ESCO1	unnamed (-113), unnamed (+8936), unnamed (+15405)
ESCO2	unnamed (-118), unnamed (+15728)
ESD	unnamed (+618), unnamed (+8209)
ESF1	unnamed (-40)
ESPL1	unnamed (-138), unnamed (+1316)
ESPN	unnamed (+2916), unnamed (+5167)
ESPNL	unnamed (-1519)
ESR1	unnamed (-11211)
ESR2	unnamed (-78), unnamed (+13951)
ESRP1	unnamed (-28117)
ESRRA	unnamed (-1398), unnamed (-701), unnamed (-137)
ESRRB	unnamed (+18959)
ESS2	unnamed (-1725), unnamed (-38)
ESYT1	unnamed (-8688), unnamed (-3894), unnamed (-346), unnamed (-43)
ESYT2	unnamed (-5646), unnamed (-2308), unnamed (+29), unnamed (+5387), unnamed (+9610), unnamed (+10688), unnamed (+11117)
ESYT3	unnamed (-23754)
ETF1	unnamed (+93), unnamed (+22577)
ETFA	unnamed (-41)
ETFB	unnamed (-6082), unnamed (+4572), unnamed (+5919)
ETFBKMT	unnamed (-13114)
ETFDH	unnamed (+63), unnamed (+20359)
ETNK1	unnamed (+55)
ETNPPL	unnamed (+28412)
ETS2	unnamed (-15832), unnamed (-12023), unnamed (-405), unnamed (+205), unnamed (+589), unnamed (+26401)
ETV1	unnamed (-1622), unnamed (+8647)
ETV2	unnamed (-47), unnamed (+1696)
ETV3	unnamed (-25599), unnamed (-23961), unnamed (-17894), unnamed (-16784), unnamed (-256)
ETV3L	unnamed (+25146)
ETV4	unnamed (+11382)
ETV5	unnamed (-20122), unnamed (-12339), unnamed (+13161)
ETV7	unnamed (-10541), unnamed (+24827), unnamed (+28992)
EVA1B	unnamed (-13448), unnamed (-4821), unnamed (+2830)
EVA1C	unnamed (+20819)
EVI5L	unnamed (-13585), unnamed (+6491), unnamed (+25607)
EVL	unnamed (-27731), unnamed (+1094), unnamed (+11637)
EVPL	unnamed (-2516)
EVX2	unnamed (+3241), unnamed (+81563), unnamed (+176735), unnamed (+219550)
EWSR1	unnamed (-447), unnamed (+336)
EXD1	unnamed (-117)
EXD2	unnamed (-303)
EXD3	unnamed (+46), unnamed (+10974), unnamed (+11373)
EXO5	unnamed (-13216)
EXOC1	unnamed (+49)
EXOC2	unnamed (-11147)
EXOC3	unnamed (-27176), unnamed (-24091), unnamed (+9108)
EXOC3L1	unnamed (+1712), unnamed (+6513)
EXOC3L4	unnamed (-8900), unnamed (-7952), unnamed (+12738), unnamed (+16646), unnamed (+18071), unnamed (+19173)
EXOC4	unnamed (-161), unnamed (+531)
EXOC5	unnamed (+130)
EXOC6	unnamed (-22294), unnamed (-19344), unnamed (-15029)
EXOC6B	unnamed (-8568)
EXOC8	unnamed (+21531)
EXOSC1	unnamed (-40)
EXOSC10	unnamed (-26865)
EXOSC2	unnamed (-12305), unnamed (+197), unnamed (+18938)
EXOSC3	unnamed (+104), unnamed (+15516)
EXOSC4	unnamed (-11286), unnamed (-89)
EXOSC5	unnamed (-12007), unnamed (+60)
EXOSC8	unnamed (+694)
EXOSC9	unnamed (-10142), unnamed (-6673)
EXPH5	unnamed (+639), unnamed (+1547)
EXTL1	unnamed (+8433)
EXTL2	unnamed (-904)
EXTL3	unnamed (-5688), unnamed (-474)
EYA2	unnamed (-24411), unnamed (+3340), unnamed (+7189)
EYA3	unnamed (-51)
EZH1	unnamed (-4182), unnamed (+600)
EZH2	unnamed (-19514), unnamed (-10094), unnamed (-1166), unnamed (-513), unnamed (+15684)
EZR	unnamed (-3385), unnamed (+19), unnamed (+1994), unnamed (+2838)
F11	unnamed (-1097)
F11R	unnamed (-35), unnamed (+18841)
F12	unnamed (-12450), unnamed (-6853), unnamed (+5026)
F13B	unnamed (-13258)
F2RL3	unnamed (-6519), unnamed (+121)
F7	unnamed (-24602), unnamed (-21873), unnamed (-10143)
F8A1	unnamed (+2422)
F8A2	unnamed (+2395)
FA2H	unnamed (+18377)
FAAH	unnamed (-23778), unnamed (-645), unnamed (+24961), unnamed (+27583)
FAAP100	unnamed (-1412), unnamed (-565), unnamed (+789)
FAAP20	unnamed (-9725), unnamed (-4513), unnamed (+14249), unnamed (+15143), unnamed (+18538), unnamed (+28354)
FAAP24	unnamed (+42), unnamed (+24003)
FABP1	unnamed (-1165)
FABP12	unnamed (+9619)
FABP3	unnamed (-683), unnamed (+5037), unnamed (+18620)
FABP5	unnamed (+6575)
FABP6	unnamed (-21002), unnamed (+19931), unnamed (+26327)
FABP7	unnamed (-25371)
FABP9	unnamed (-96)
FADD	unnamed (-3701), unnamed (-164), unnamed (+23991)
FADS1	unnamed (+187)
FADS2	unnamed (+14082)
FADS3	unnamed (+867), unnamed (+7412)
FADS6	unnamed (-8299), unnamed (+17286)
FAF1	unnamed (-69), unnamed (+28697)
FAH	unnamed (-370), unnamed (+2979), unnamed (+8051)
FAHD1	unnamed (+240)
FAHD2A	unnamed (-11036), unnamed (+2211)
FAHD2B	unnamed (-18728), unnamed (+7930)
FAIM2	unnamed (-2021)
FAM102A	unnamed (-23905), unnamed (+907), unnamed (+11598)
FAM103A1	unnamed (-10), unnamed (+25553), unnamed (+26701), unnamed (+28234)
FAM104A	unnamed (+4240)
FAM107A	unnamed (+17514)
FAM109A	unnamed (-28114), unnamed (-81), unnamed (+6643), unnamed (+9800)
FAM110A	unnamed (-4541)
FAM111A	unnamed (+330)
FAM114A2	unnamed (-12), unnamed (+526)
FAM117B	unnamed (-6201)
FAM118A	unnamed (+7023)
FAM118B	unnamed (+311)
FAM120B	unnamed (-2635)
FAM122A	unnamed (-1100), unnamed (-117), unnamed (+14081)
FAM124A	unnamed (+27895)
FAM124B	unnamed (+1647), unnamed (+8863)
FAM126A	unnamed (-4611)
FAM126B	unnamed (-298), unnamed (-23), unnamed (+28551)
FAM129B	unnamed (+12878), unnamed (+29458)
FAM131A	unnamed (-2949), unnamed (-1558), unnamed (-334), unnamed (+4625), unnamed (+8421), unnamed (+23191)
FAM131B	unnamed (-10722), unnamed (-1652), unnamed (+11546)
FAM131C	unnamed (-21288), unnamed (-19186), unnamed (-2574), unnamed (+464), unnamed (+857), unnamed (+3490), unnamed (+6270), unnamed (+16219)
FAM133B	unnamed (-30)
FAM135A	unnamed (-18319), unnamed (-12)
FAM13A	unnamed (-58)
FAM13B	unnamed (+706)
FAM153C	unnamed (-11521), unnamed (+27812)
FAM155A	unnamed (-16139)
FAM155B	unnamed (-1657)
FAM156A	unnamed (-468), unnamed (-98)
FAM156B	unnamed (-538), unnamed (-97), unnamed (+22970)
FAM159A	unnamed (+2326)
FAM159B	unnamed (-24081)
FAM161A	unnamed (+643), unnamed (+7678)
FAM163A	unnamed (+16269)
FAM163B	unnamed (-17524), unnamed (+16963), unnamed (+21270)
FAM166A	unnamed (+3627)
FAM167A	unnamed (+15121)
FAM168A	unnamed (-29906)
FAM168B	unnamed (-739), unnamed (-352), unnamed (-88)
FAM170B	unnamed (-27767), unnamed (-27497), unnamed (+14065)
FAM171A1	unnamed (-13293)
FAM171A2	unnamed (-22471), unnamed (+15527)
FAM171B	unnamed (-17)
FAM173A	unnamed (+433)
FAM173B	unnamed (+27638)
FAM174B	unnamed (-22280), unnamed (-5392)
FAM180A	unnamed (-14), unnamed (+15074)
FAM184A	unnamed (-4477), unnamed (-199)
FAM185A	unnamed (-342)
FAM186B	unnamed (-11144), unnamed (+27850)
FAM187A	unnamed (-25)
FAM187B	unnamed (-18902), unnamed (+5462), unnamed (+8344), unnamed (+14539), unnamed (+25232), unnamed (+25582)
FAM189B	unnamed (-63)
FAM192A	unnamed (-146)
FAM193B	unnamed (-7372), unnamed (-2663), unnamed (-115), unnamed (+25028)
FAM19A4	unnamed (-3308)
FAM200A	unnamed (-22), unnamed (+14837), unnamed (+20687)
FAM200B	unnamed (+9983)
FAM206A	unnamed (+29500)
FAM207A	unnamed (-50), unnamed (+28507)
FAM208A	unnamed (-316)
FAM208B	unnamed (-307), unnamed (+8121)
FAM209B	unnamed (+9470)
FAM20A	unnamed (+21495)
FAM20B	unnamed (-16927), unnamed (-7752), unnamed (-188), unnamed (+453), unnamed (+21227)
FAM20C	unnamed (+6698), unnamed (+20719), unnamed (+27725)
FAM210A	unnamed (-85), unnamed (+10200)
FAM210B	unnamed (+4165), unnamed (+10002)
FAM212A	unnamed (+3154)
FAM212B	unnamed (-242)
FAM213A	unnamed (-7566), unnamed (-22), unnamed (+3141)
FAM213B	unnamed (-25889), unnamed (-8326), unnamed (-2745), unnamed (-833), unnamed (+22985)
FAM214A	unnamed (-27360)
FAM214B	unnamed (-4802), unnamed (-12)
FAM220A	unnamed (-10255), unnamed (0)
FAM222B	unnamed (+1163), unnamed (+1757)
FAM234B	unnamed (+16449), unnamed (+17336)
FAM3A	unnamed (-699), unnamed (+11494)
FAM3C	unnamed (-15107), unnamed (-195)
FAM3D	unnamed (-20216), unnamed (+8121)
FAM46A	unnamed (-129), unnamed (+11894)
FAM46B	unnamed (-8835), unnamed (-2654), unnamed (-453), unnamed (+3526)
FAM46C	unnamed (-17997)
FAM47E	unnamed (-14044)
FAM49A	unnamed (-10146)
FAM49B	unnamed (-519), unnamed (-148), unnamed (+14702)
FAM50A	unnamed (-13)
FAM53A	unnamed (-23026), unnamed (-2765), unnamed (+106), unnamed (+9398), unnamed (+11031), unnamed (+22809)
FAM53B	unnamed (+10707), unnamed (+25590)
FAM53C	unnamed (-538), unnamed (+422)
FAM57A	unnamed (+95)
FAM58A	unnamed (+1603)
FAM60A	unnamed (-16978)
FAM69A	unnamed (-14339), unnamed (+4227)
FAM69B	unnamed (-15952), unnamed (-4322), unnamed (+7720), unnamed (+15158), unnamed (+15721), unnamed (+17907), unnamed (+20444), unnamed (+21684), unnamed (+28576)
FAM71A	unnamed (+16169), unnamed (+18828), unnamed (+19582)
FAM71E1	unnamed (-10192), unnamed (-787), unnamed (+447)
FAM71F1	unnamed (-21535), unnamed (-13716), unnamed (-2463), unnamed (+10361), unnamed (+17690), unnamed (+19590)
FAM71F2	unnamed (-18725), unnamed (-15844), unnamed (-14779), unnamed (+9929), unnamed (+21562), unnamed (+29381)
FAM72A	unnamed (+120)
FAM72C	unnamed (-29288)
FAM76A	unnamed (-11734), unnamed (-287), unnamed (+229)
FAM76B	unnamed (-621)
FAM83A	unnamed (-11499), unnamed (+2933), unnamed (+3576), unnamed (+11971)
FAM83C	unnamed (-26306), unnamed (-19188), unnamed (-13483)
FAM83D	unnamed (+21703)
FAM83G	unnamed (-27716), unnamed (-57), unnamed (+22978)
FAM83H	unnamed (-10404), unnamed (-7984), unnamed (-4290), unnamed (+14865)
FAM86B1	unnamed (-488), unnamed (-81), unnamed (+11278), unnamed (+23224)
FAM86B2	unnamed (-539), unnamed (-206)
FAM86C1	unnamed (-519), unnamed (+7033), unnamed (+17202)
FAM89B	unnamed (+1711)
FAM90A1	unnamed (-15917), unnamed (-68)
FAM90A26	unnamed (-17703), unnamed (-17250), unnamed (+292)
FAM92A	unnamed (-1970)
FAM92B	unnamed (-26398), unnamed (-25133), unnamed (-24502), unnamed (-21935), unnamed (-6062), unnamed (-2557), unnamed (+11033), unnamed (+29937)
FAM96A	unnamed (-974), unnamed (+562), unnamed (+21817), unnamed (+22554)
FAM96B	unnamed (-583)
FAM98B	unnamed (-15953), unnamed (-9)
FAM98C	unnamed (+10061)
FAM9B	unnamed (-22060)
FAM9C	unnamed (-11175)
FANCA	unnamed (-2703), unnamed (-260), unnamed (+23791)
FANCB	unnamed (-363)
FANCC	unnamed (+27)
FANCD2	unnamed (-42), unnamed (+1060)
FANCE	unnamed (-22700), unnamed (-12867)
FANCI	unnamed (-17181)
FANK1	unnamed (+25024)
FAR1	unnamed (+12081)
FAR2	unnamed (-3604), unnamed (-946), unnamed (+6070)
FARS2	unnamed (+9218)
FARSA	unnamed (-3785), unnamed (+26)
FARSB	unnamed (-48)
FASLG	unnamed (-15336), unnamed (-5811), unnamed (+20583), unnamed (+29863)
FASN	unnamed (-794), unnamed (-283), unnamed (+43), unnamed (+678)
FASTK	unnamed (+2580), unnamed (+18378)
FASTKD1	unnamed (-25)
FASTKD3	unnamed (+12746)
FASTKD5	unnamed (+2848)
FAT1	unnamed (-16118), unnamed (+10969), unnamed (+20744)
FAT2	unnamed (-24303), unnamed (-17166)
FATE1	unnamed (-12155)
FAXC	unnamed (+17921)
FAXDC2	unnamed (+238)
FBF1	unnamed (-29885)
FBL	unnamed (-19733), unnamed (+3465), unnamed (+6252)
FBLIM1	unnamed (+3615), unnamed (+13595)
FBLL1	unnamed (-3114), unnamed (+1740)
FBLN2	unnamed (-9322), unnamed (+8520)
FBLN5	unnamed (+12336)
FBN2	unnamed (-29605)
FBN3	unnamed (-25030), unnamed (-4767)
FBP1	unnamed (+16788)
FBP2	unnamed (-29668), unnamed (+11722)
FBRSL1	unnamed (-18267), unnamed (-14016), unnamed (+12967)
FBXL12	unnamed (+28500)
FBXL13	unnamed (-601), unnamed (-253)
FBXL14	unnamed (-19889), unnamed (-12251), unnamed (-773)
FBXL15	unnamed (-664), unnamed (-61), unnamed (+1334), unnamed (+2485), unnamed (+3011)
FBXL16	unnamed (+10122)
FBXL18	unnamed (-12756), unnamed (-12226), unnamed (-7360), unnamed (+4977), unnamed (+8773), unnamed (+15897), unnamed (+17660), unnamed (+21353)
FBXL19	unnamed (+17239)
FBXL2	unnamed (-24)
FBXL22	unnamed (+1725)
FBXL5	unnamed (-98)
FBXO17	unnamed (-28625), unnamed (-17544), unnamed (-3991), unnamed (+670)
FBXO18	unnamed (-4515), unnamed (+695)
FBXO2	unnamed (+5024)
FBXO21	unnamed (+22466)
FBXO22	unnamed (0), unnamed (+12695)
FBXO24	unnamed (+7190)
FBXO25	unnamed (-66)
FBXO27	unnamed (+1193), unnamed (+7383), unnamed (+13152), unnamed (+14210), unnamed (+28061)
FBXO28	unnamed (-21336), unnamed (+2)
FBXO30	unnamed (-525), unnamed (+25073)
FBXO31	unnamed (-4795), unnamed (-4419), unnamed (-182), unnamed (+2245), unnamed (+3244)
FBXO32	unnamed (-20784), unnamed (-19365), unnamed (-106), unnamed (+23244), unnamed (+24118), unnamed (+26824)
FBXO33	unnamed (0)
FBXO34	unnamed (-21697), unnamed (-5852), unnamed (+12), unnamed (+800)
FBXO38	unnamed (-181)
FBXO4	unnamed (-73), unnamed (+529), unnamed (+1041)
FBXO41	unnamed (+2952), unnamed (+23936)
FBXO45	unnamed (+20701)
FBXO46	unnamed (+13480)
FBXO5	unnamed (-4510), unnamed (-1279), unnamed (-297)
FBXO6	unnamed (+16974), unnamed (+25860)
FBXO7	unnamed (-4720)
FBXW11	unnamed (+19677), unnamed (+26868)
FBXW12	unnamed (-4881)
FBXW2	unnamed (-49), unnamed (+13765), unnamed (+15987)
FBXW4	unnamed (+57)
FBXW5	unnamed (-347), unnamed (-84), unnamed (+16859)
FBXW7	unnamed (-634)
FBXW8	unnamed (-19674), unnamed (-18416), unnamed (-14206), unnamed (-12064), unnamed (-75), unnamed (+7696)
FBXW9	unnamed (-26076), unnamed (-16013)
FCAMR	unnamed (-3756), unnamed (+14797)
FCER1G	unnamed (-13074), unnamed (+1884)
FCF1	unnamed (+22173)
FCGR1A	unnamed (+5330)
FCGR1B	unnamed (+5300)
FCGR2A	unnamed (+1706)
FCGR2B	unnamed (-24508), unnamed (+19408)
FCGR3A	unnamed (-7466), unnamed (+9513), unnamed (+12290)
FCGR3B	unnamed (-7447), unnamed (-1528)
FCGRT	unnamed (-14890), unnamed (+1043), unnamed (+8425)
FCHO1	unnamed (-9043), unnamed (+2441), unnamed (+24680)
FCHSD1	unnamed (-25987), unnamed (-19650), unnamed (-18221), unnamed (+13148)
FCHSD2	unnamed (-28871), unnamed (-1485), unnamed (-483), unnamed (+4832)
FCMR	unnamed (-17378), unnamed (-3491), unnamed (-2889), unnamed (+7000)
